2

0.0 -99.0 -95.0   1111
10
10.0   0.0 -70.0 -95.0   1 1 0
10.0   0.0 -50.0 -95.0   1 1 0
10.0   0.0 -30.0 -95.0   1 1 0
10.0   0.0 -10.0 -95.0   1 1 0
10.0   0.0 +10.0 -95.0   1 1 0
10.0   0.0 +30.0 -95.0   1 1 0
10.0   0.0 +50.0 -95.0   1 1 0
10.0   0.0 +70.0 -95.0   1 1 0
10.0   0.0 +90.0 -95.0   1 1 0
10.0   0.0 120.0 -95.0   1 1 0

0.0 -99.0 +95.0   1111
10
10.0   0.0 -70.0 +95.0   1 1 0
10.0   0.0 -50.0 +95.0   1 1 0
10.0   0.0 -30.0 +95.0   1 1 0
10.0   0.0 -10.0 +95.0   1 1 0
10.0   0.0 +10.0 +95.0   1 1 0
10.0   0.0 +30.0 +95.0   1 1 0
10.0   0.0 +50.0 +95.0   1 1 0
10.0   0.0 +70.0 +95.0   1 1 0
10.0   0.0 +90.0 +95.0   1 1 0
10.0   0.0 120.0 +95.0   1 1 0
